,ride_id,rideable_type,rideable_type_code,started_at,ended_at,ride_length,month_name,day_of_week,hour_of_day,start_station_name,start_station_id,start_lat,start_lng,end_station_name,end_station_id,end_lat,end_lng,member_casual,member_casual_code
0,754A131D58BEA039,classic_bike,0,2024-09-01 07:57:40,2024-09-01 08:24:12,26.533333333333335,September,Sunday,07 AM,Cannon Dr & Fullerton Ave,13124,41.9267559875,-87.6344287848,DuSable Lake Shore Dr & Monroe St,13300,41.880958,-87.616743,member,1
1,2BA8F47F3C67892E,classic_bike,0,2024-10-29 19:13:07,2024-10-29 22:01:29,168.36666666666667,October,Tuesday,07 PM,Cottage Grove Ave & Oakwood Blvd,TA1308000038,41.822985,-87.6071,Cottage Grove Ave & Oakwood Blvd,TA1308000038,41.822985,-87.6071,casual,0
2,C06EA1BC1E072633,electric_bike,1,2024-10-11 10:45:14,2024-10-11 10:48:52,3.6333333333333333,October,Friday,10 AM,Calumet Ave & 18th St,13102,41.85761755293753,-87.61941075325012,Michigan Ave & 18th St,13150,41.857926,-87.624336,member,1
3,696A7CB094494171,classic_bike,0,2024-11-26 09:16:55,2024-11-26 09:23:30,6.583333333333333,November,Tuesday,09 AM,Morgan Ave & 14th Pl,TA1306000002,41.862378,-87.651062,900 W Harrison St,13028,41.874754,-87.649807,member,1
4,9F54EDCE55416897,electric_bike,1,2024-10-03 10:29:16,2024-10-03 10:33:52,4.6,October,Thursday,10 AM,Daley Center Plaza,TA1306000010,41.884241,-87.629634,Fairbanks Ct & Grand Ave,TA1305000003,41.89184737210993,-87.62058019638062,casual,0
5,6E96AE643DE2F784,electric_bike,1,2024-10-21 08:35:28,2024-10-21 08:38:16,2.8,October,Monday,08 AM,Sheridan Rd & Montrose Ave,TA1307000107,41.96167,-87.65464,Broadway & Sheridan Rd,13323,41.952833,-87.649993,casual,0
6,3F577E7ED6B1AF62,electric_bike,1,2024-02-28 18:56:30,2024-02-28 19:03:47,7.283333333333333,February,Wednesday,06 PM,Ada St & Washington Blvd,13353,41.882887333333336,-87.66124966666666,Desplaines St & Jackson Blvd,15539,41.87811890091227,-87.64394760131836,member,1
7,33144688FD706240,classic_bike,0,2024-04-16 19:29:16,2024-04-16 19:32:04,2.8,April,Tuesday,07 PM,Morgan St & Lake St*,chargingstx4,41.88549170626906,-87.65228927135468,Elizabeth St & Randolph St,23001,41.884336,-87.658902,member,1
8,D43B2F43BEA777DD,classic_bike,0,2024-05-31 19:39:05,2024-05-31 19:48:00,8.916666666666666,May,Friday,07 PM,Michigan Ave & Washington St,13001,41.8839840647265,-87.6246839761734,Kingsbury St & Kinzie St,KA1503000043,41.88917683258,-87.6385057718,member,1
9,79FFA36B5F1F89F5,classic_bike,0,2024-06-24 11:14:54,2024-06-24 11:25:16,10.366666666666667,June,Monday,11 AM,Blackstone Ave & Hyde Park Blvd,13398,41.802562,-87.590368,University Ave & 59th St,22003,41.787878,-87.598906,member,1
